STATION ID,LAT N," LONG W (deg,min,sec)",ELEV (ft),TOWER HEIGHT (m)
KABR,452721,982447,1302,20
KABX,350859,1064926,5870,20
KAKQ,365902,770026,112,20
KAMA,351400,1014233,3587,20
KAMX,253640,802446,14,20
KAPX,445426,844311,1464,20
KARX,434922,911128,1276,20
KATX,481140,1222945,494,30
KBBX,392946,1213754,167,10
KBGM,421159,755905,1606,20
KBHX,402954,1241731,2402,30
KBIS,464615,1004538,1658,20
KBLX,455114,1083624,3598,10
KBMX,331020,864611,645,30
KBOX,415721,710813,118,30
KBRO,255458,972508,23,10
KBUF,425656,784412,693,20
KBYX,243551,814211,8,20
KCAE,335655,810706,231,30
KCBW,460221,674823,746,30
KCBX,432926,1161408,3061,20
KCCX,405523,780013,2405,20
KCLE,412447,815135,763,20
KCLX,323920,810232,97,30
KCRP,274703,973040,45,20
KCXX,443040,731001,317,30
KCYS,410907,1044822,6128,10
KDAX,383004,1214040,30,30
KDDC,374539,995808,2590,20
KDFX,291622,1001650,1131,10
KDGX,321648,895902,609,20
KDIX,395649,742439,149,20
KDLH,465013,921235,1428,30
KDMX,414352,934322,981,30
KDOX,384932,752623,50,30
KDTX,424159,832818,1072,30
KDVN,413642,903451,754,20
KDYX,323218,991516,1517,10
KEAX,384837,941552,995,20
KEMX,315337,1103749,5205,30
KENX,423511,740350,1826,20
KEOX,312738,852734,434,10
KEPZ,315223,1064153,4104,30
KESX,354204,1145329,4867,20
KEVX,303352,855517,140,20
KEWX,294214,980142,633,20
KEYX,350552,1173339,2757,20
KFCX,370128,801626,2868,20
KFDR,342144,985835,1267,10
KFDX,343807,1033748,4650,10
KFFC,332149,843357,858,30
KFSD,433516,964346,1430,10
KFSX,343428,1111152,7417,20
KFTG,394712,1043245,5497,30
KFWS,323423,971811,683,20
KGGW,481223,1063730,2276,20
KGJX,390344,1081250,9991,10
KGLD,392201,1014201,3651,10
KGRB,442954,880641,682,30
KGRK,304319,972259,538,10
KGRR,425338,853241,778,20
KGSP,345300,821312,940,30
KGWX,335348,881944,476,20
KGYX,435329,701523,409,10
KHDX,330435,1060722,4222,10
KHGX,292819,950445,18,20
KHNX,361851,1193756,243,20
KHPX,364412,871706,576,10
KHTX,345550,860500,1760,15
KICT,373917,972634,1335,10
KICX,373527,1125144,10600,30
KILN,392513,834918,1056,30
KILX,400902,892013,582,30
KIND,394227,861649,790,20
KINX,361030,953353,668,20
KIWA,331721,1114012,1353,10
KIWX,412132,854200,960,25
KJAN,321904,900448,297,20
KJAX,302905,814207,33,20
KJGX,324031,832104,521,20
KJKL,373527,831847,1364,25
KLBB,333915,1014851,3259,20
KLCH,300731,931257,13,20
KLIX,302012,894932,24,30
KLNX,415728,1003435,2970,20
KLOT,413617,880505,663,20
KLRX,404423,1164810,6744,30
KLSX,384156,904058,608,30
KLTX,335922,782544,64,20
KLVX,375831,855638,719,30
KLWX,385831,772840,272,25
KLZK,345011,921544,568,20
KMAF,315636,1021121,2868,10
KMAX,420452,1224302,7513,10
KMBX,482333,1005154,1493,20
KMHX,344634,765234,31,30
KMKX,425804,883302,958,10
KMLB,280648,803915,35,20
KMOB,304046,881423,208,20
KMPX,445056,933356,946,30
KMQT,463152,873254,1411,30
KMRX,361007,832406,1337,20
KMSX,470228,1135910,7855,10
KMTX,411546,1122652,6460,30
KMUX,370919,1215354,3469,20
KMVX,473140,971932,986,20
KMXX,323212,854723,400,30
KNKX,325508,1170231,955,20
KNQA,352041,895224,282,20
KOAX,411913,962200,1148,30
KOHX,361450,863345,579,20
KOKX,405156,725150,85,30
KOTX,474049,1173736,2384,10
KPAH,370406,884619,392,30
KPBZ,403154,801305,1185,20
KPDT,454126,1185110,1515,10
KPOE,310920,925833,408,10
KPUX,382734,1041053,5249,10
KRAX,353956,782923,348,30
KRGX,394515,1192744,8299,20
KRIW,430358,1082838,5568,10
KRLX,381840,814323,1080,30
KRMX,432804,752728,1516,30
KRTX,454253,1225755,1572,30
KSFX,430621,1124110,4474,10
KSGF,371407,932402,1278,20
KSHV,322703,935029,273,30
KSJT,312217,1002933,1890,30
KSOX,334904,1173809,3027,15
KSRX,351726,942142,640,20
KTBW,274220,822406,41,20
KTFX,472735,1112307,3714,10
KTLH,302351,841944,63,30
KTLX,351959,971640,1213,15
KTWX,385949,961357,1367,10
KUDX,440730,1024947,3016,30
KUEX,401915,982631,1976,20
KVAX,302325,830006,173,30
KVBX,345017,1202349,1223,20
KVNX,364427,980740,1210,10
KVTX,342442,1191046,2726,20
KYUX,322943,1143924,174,10
PABC,604731,1615235,162,5
PACG,565110,1353145,209,10
PAEC,643041,1651742,54,5
PAHG,604333,1512105,242,30
PAIH,592741,1461811,67,10
PAKC,584046,1563746,63,20
PAPD,650206,1473006,2593,30
PGUA,132709,2151512,264,30
PHKI,215339,1593308,179,30
PHKN,200732,1554640,3812,30
PHMO,210758,1571048,1363,20
PHWA,190542,1553408,1380,20
RKJK,355527,2332340,78,30
RKSG,365721,2334944,52,20
RODN,261807,2331454,218,30
TJUA,180656,660441,2794,30
